Feature,count,mean,std,min,25%,50%,75%,max,%missing,card
temp,11269.0,280.15066820480655,3.4683005497314263,271.5,277.95,280.03,282.29,292.3,0.0,1576
feels_like,11269.0,274.9613328600587,4.13800699152975,264.41,272.12,274.84,277.36,291.25,0.0,1810
temp_min,11269.0,279.1553447510695,3.5767137657181705,268.71,277.04,279.15,281.48,292.04,0.0,59
temp_max,11269.0,281.0692048983685,3.5184826213918763,272.59,278.71,280.93,283.15,293.15,0.0,54
pressure,11269.0,1013.450794214216,15.174309550686596,967.0,1002.0,1016.0,1025.0,1047.0,0.0,81
humidity,11269.0,78.07170112698553,12.200017987561361,34.0,70.0,80.0,87.0,100.0,0.0,58
visibility,11269.0,9788.668027331618,987.3194467926057,400.0,10000.0,10000.0,10000.0,10000.0,0.0,17
windspeed,11269.0,5.5173484781258315,2.406539472029102,1.0,4.0,5.0,7.0,15.0,0.0,15
winddirection,11269.0,198.03061496139853,87.70235106184325,10.0,140.0,230.0,260.0,360.0,0.0,42
clouds,11269.0,60.1652320525335,23.04300654612867,0.0,40.0,75.0,75.0,100.0,0.0,24
